kmer_2_AA,kmer_2_AC,kmer_2_AG,kmer_2_AT,kmer_2_CA,kmer_2_CC,kmer_2_CG,kmer_2_CT,kmer_2_GA,kmer_2_GC,kmer_2_GG,kmer_2_GT,kmer_2_TA,kmer_2_TC,kmer_2_TG,kmer_2_TT,kmer_3_AAA,kmer_3_AAC,kmer_3_AAG,kmer_3_AAT,kmer_3_ACA,kmer_3_ACC,kmer_3_ACG,kmer_3_ACT,kmer_3_AGA,kmer_3_AGC,kmer_3_AGG,kmer_3_AGT,kmer_3_ATA,kmer_3_ATC,kmer_3_ATG,kmer_3_ATT,kmer_3_CAA,kmer_3_CAC,kmer_3_CAG,kmer_3_CAT,kmer_3_CCA,kmer_3_CCC,kmer_3_CCG,kmer_3_CCT,kmer_3_CGA,kmer_3_CGC,kmer_3_CGG,kmer_3_CGT,kmer_3_CTA,kmer_3_CTC,kmer_3_CTG,kmer_3_CTT,kmer_3_GAA,kmer_3_GAC,kmer_3_GAG,kmer_3_GAT,kmer_3_GCA,kmer_3_GCC,kmer_3_GCG,kmer_3_GCT,kmer_3_GGA,kmer_3_GGC,kmer_3_GGG,kmer_3_GGT,kmer_3_GTA,kmer_3_GTC,kmer_3_GTG,kmer_3_GTT,kmer_3_TAA,kmer_3_TAC,kmer_3_TAG,kmer_3_TAT,kmer_3_TCA,kmer_3_TCC,kmer_3_TCG,kmer_3_TCT,kmer_3_TGA,kmer_3_TGC,kmer_3_TGG,kmer_3_TGT,kmer_3_TTA,kmer_3_TTC,kmer_3_TTG,kmer_3_TTT,DCC_Twist.Tilt.lag.1,DCC_Twist.Tilt.lag.2,DCC_Tilt.Twist.lag.1,DCC_Tilt.Twist.lag.2,DACC_Twist.lag1,DACC_Twist.lag2,DACC_Tilt.lag1,DACC_Tilt.lag2,DACC_Twist.Tilt.lag.1,DACC_Twist.Tilt.lag.2,DACC_Tilt.Twist.lag.1,DACC_Tilt.Twist.lag.2,TCC_Dnase I.Nucleosome.lag.1,TCC_Dnase I.Nucleosome.lag.2,TCC_Nucleosome.Dnase I.lag.1,TCC_Nucleosome.Dnase I.lag.2,TACC_Dnase I.lag1,TACC_Dnase I.lag2,TACC_Nucleosome.lag1,TACC_Nucleosome.lag2,TACC_Dnase I.Nucleosome.lag.1,TACC_Dnase I.Nucleosome.lag.2,TACC_Nucleosome.Dnase I.lag.1,TACC_Nucleosome.Dnase I.lag.2,PseDNC_Xc1.AA,PseDNC_Xc1.AC,PseDNC_Xc1.AG,PseDNC_Xc1.AT,PseDNC_Xc1.CA,PseDNC_Xc1.CC,PseDNC_Xc1.CG,PseDNC_Xc1.CT,PseDNC_Xc1.GA,PseDNC_Xc1.GC,PseDNC_Xc1.GG,PseDNC_Xc1.GT,PseDNC_Xc1.TA,PseDNC_Xc1.TC,PseDNC_Xc1.TG,PseDNC_Xc1.TT,PseDNC_Xc2.lambda.1,PseDNC_Xc2.lambda.2,PseDNC_Xc2.lambda.3,PseKNC_3_Xc1.AAA,PseKNC_3_Xc1.AAC,PseKNC_3_Xc1.AAG,PseKNC_3_Xc1.AAT,PseKNC_3_Xc1.ACA,PseKNC_3_Xc1.ACC,PseKNC_3_Xc1.ACG,PseKNC_3_Xc1.ACT,PseKNC_3_Xc1.AGA,PseKNC_3_Xc1.AGC,PseKNC_3_Xc1.AGG,PseKNC_3_Xc1.AGT,PseKNC_3_Xc1.ATA,PseKNC_3_Xc1.ATC,PseKNC_3_Xc1.ATG,PseKNC_3_Xc1.ATT,PseKNC_3_Xc1.CAA,PseKNC_3_Xc1.CAC,PseKNC_3_Xc1.CAG,PseKNC_3_Xc1.CAT,PseKNC_3_Xc1.CCA,PseKNC_3_Xc1.CCC,PseKNC_3_Xc1.CCG,PseKNC_3_Xc1.CCT,PseKNC_3_Xc1.CGA,PseKNC_3_Xc1.CGC,PseKNC_3_Xc1.CGG,PseKNC_3_Xc1.CGT,PseKNC_3_Xc1.CTA,PseKNC_3_Xc1.CTC,PseKNC_3_Xc1.CTG,PseKNC_3_Xc1.CTT,PseKNC_3_Xc1.GAA,PseKNC_3_Xc1.GAC,PseKNC_3_Xc1.GAG,PseKNC_3_Xc1.GAT,PseKNC_3_Xc1.GCA,PseKNC_3_Xc1.GCC,PseKNC_3_Xc1.GCG,PseKNC_3_Xc1.GCT,PseKNC_3_Xc1.GGA,PseKNC_3_Xc1.GGC,PseKNC_3_Xc1.GGG,PseKNC_3_Xc1.GGT,PseKNC_3_Xc1.GTA,PseKNC_3_Xc1.GTC,PseKNC_3_Xc1.GTG,PseKNC_3_Xc1.GTT,PseKNC_3_Xc1.TAA,PseKNC_3_Xc1.TAC,PseKNC_3_Xc1.TAG,PseKNC_3_Xc1.TAT,PseKNC_3_Xc1.TCA,PseKNC_3_Xc1.TCC,PseKNC_3_Xc1.TCG,PseKNC_3_Xc1.TCT,PseKNC_3_Xc1.TGA,PseKNC_3_Xc1.TGC,PseKNC_3_Xc1.TGG,PseKNC_3_Xc1.TGT,PseKNC_3_Xc1.TTA,PseKNC_3_Xc1.TTC,PseKNC_3_Xc1.TTG,PseKNC_3_Xc1.TTT,PseKNC_3_Xc2.lambda.1,PseKNC_3_Xc2.lambda.2,PseKNC_3_Xc2.lambda.3,PseKNC_5_Xc1.AAA,PseKNC_5_Xc1.AAC,PseKNC_5_Xc1.AAG,PseKNC_5_Xc1.AAT,PseKNC_5_Xc1.ACA,PseKNC_5_Xc1.ACC,PseKNC_5_Xc1.ACG,PseKNC_5_Xc1.ACT,PseKNC_5_Xc1.AGA,PseKNC_5_Xc1.AGC,PseKNC_5_Xc1.AGG,PseKNC_5_Xc1.AGT,PseKNC_5_Xc1.ATA,PseKNC_5_Xc1.ATC,PseKNC_5_Xc1.ATG,PseKNC_5_Xc1.ATT,PseKNC_5_Xc1.CAA,PseKNC_5_Xc1.CAC,PseKNC_5_Xc1.CAG,PseKNC_5_Xc1.CAT,PseKNC_5_Xc1.CCA,PseKNC_5_Xc1.CCC,PseKNC_5_Xc1.CCG,PseKNC_5_Xc1.CCT,PseKNC_5_Xc1.CGA,PseKNC_5_Xc1.CGC,PseKNC_5_Xc1.CGG,PseKNC_5_Xc1.CGT,PseKNC_5_Xc1.CTA,PseKNC_5_Xc1.CTC,PseKNC_5_Xc1.CTG,PseKNC_5_Xc1.CTT,PseKNC_5_Xc1.GAA,PseKNC_5_Xc1.GAC,PseKNC_5_Xc1.GAG,PseKNC_5_Xc1.GAT,PseKNC_5_Xc1.GCA,PseKNC_5_Xc1.GCC,PseKNC_5_Xc1.GCG,PseKNC_5_Xc1.GCT,PseKNC_5_Xc1.GGA,PseKNC_5_Xc1.GGC,PseKNC_5_Xc1.GGG,PseKNC_5_Xc1.GGT,PseKNC_5_Xc1.GTA,PseKNC_5_Xc1.GTC,PseKNC_5_Xc1.GTG,PseKNC_5_Xc1.GTT,PseKNC_5_Xc1.TAA,PseKNC_5_Xc1.TAC,PseKNC_5_Xc1.TAG,PseKNC_5_Xc1.TAT,PseKNC_5_Xc1.TCA,PseKNC_5_Xc1.TCC,PseKNC_5_Xc1.TCG,PseKNC_5_Xc1.TCT,PseKNC_5_Xc1.TGA,PseKNC_5_Xc1.TGC,PseKNC_5_Xc1.TGG,PseKNC_5_Xc1.TGT,PseKNC_5_Xc1.TTA,PseKNC_5_Xc1.TTC,PseKNC_5_Xc1.TTG,PseKNC_5_Xc1.TTT,PseKNC_5_Xc2.lambda.1,PseKNC_5_Xc2.lambda.2,PseKNC_5_Xc2.lambda.3,PseKNC_5_Xc2.lambda.4,PseKNC_5_Xc2.lambda.5,C3s,A3s,G3s,CAI,CBI,Fop,Nc,GC3s,GC,L_sym,L_aa,Gravy,Aromo,X
HL41_00855,328,104,189,95,85,73,31,116,152,53,109,83,151,75,68,201,175,46,80,26,25,33,14,32,80,26,52,31,28,21,11,35,27,14,31,13,19,12,8,34,8,2,12,9,24,20,20,52,72,24,28,28,17,13,3,20,44,11,21,33,31,10,10,32,54,20,50,27,24,15,6,30,20,14,24,10,68,24,27,82,-0.182,-0.052,-0.177,-0.011,-0.238,-0.017,-0.125,-0.049,-0.182,-0.052,-0.177,-0.011,-0.244,-0.147,-0.295,-0.205,0.351,0.176,0.582,0.196,-0.244,-0.147,-0.295,-0.205,0.139,0.044,0.08,0.04,0.036,0.031,0.013,0.049,0.064,0.022,0.046,0.035,0.064,0.032,0.029,0.085,0.07,0.062,0.06,0.025,0.007,0.012,0.004,0.004,0.005,0.002,0.005,0.012,0.004,0.007,0.004,0.004,0.003,0.002,0.005,0.004,0.002,0.004,0.002,0.003,0.002,0.001,0.005,0.001,0,0.002,0.001,0.003,0.003,0.003,0.007,0.01,0.003,0.004,0.004,0.002,0.002,0,0.003,0.006,0.002,0.003,0.005,0.004,0.001,0.001,0.005,0.008,0.003,0.007,0.004,0.003,0.002,0.001,0.004,0.003,0.002,0.003,0.001,0.01,0.003,0.004,0.012,0.267,0.233,0.226,0.017,0.005,0.008,0.003,0.002,0.003,0.001,0.003,0.008,0.003,0.005,0.003,0.003,0.002,0.001,0.003,0.003,0.001,0.003,0.001,0.002,0.001,0.001,0.003,0.001,0,0.001,0.001,0.002,0.002,0.002,0.005,0.007,0.002,0.003,0.003,0.002,0.001,0,0.002,0.004,0.001,0.002,0.003,0.003,0.001,0.001,0.003,0.005,0.002,0.005,0.003,0.002,0.001,0.001,0.003,0.002,0.001,0.002,0.001,0.007,0.002,0.003,0.008,0.185,0.161,0.156,0.153,0.156,0.2234,0.5251,0.1607,0.195,0.024,0.423,45.68,0.289,0.367,626,637,-0.20675,0.078493,NA
HL41_00860,329,93,183,131,89,89,23,131,152,54,104,86,166,96,86,263,172,47,74,35,29,31,6,27,87,21,43,32,34,32,24,41,33,4,29,23,20,21,7,41,3,7,5,8,26,23,17,65,70,20,32,30,17,10,3,24,32,14,29,29,20,14,12,40,54,22,48,42,23,27,7,39,30,12,27,17,86,27,33,117,-0.161,-0.07,-0.186,-0.013,-0.233,-0.035,-0.114,-0.05,-0.161,-0.07,-0.186,-0.013,-0.176,-0.105,-0.204,-0.198,0.369,0.19,0.61,0.215,-0.176,-0.105,-0.204,-0.198,0.128,0.036,0.071,0.051,0.035,0.035,0.009,0.051,0.059,0.021,0.04,0.033,0.064,0.037,0.033,0.102,0.071,0.063,0.06,0.023,0.006,0.01,0.005,0.004,0.004,0.001,0.004,0.011,0.003,0.006,0.004,0.004,0.004,0.003,0.005,0.004,0.001,0.004,0.003,0.003,0.003,0.001,0.005,0,0.001,0.001,0.001,0.003,0.003,0.002,0.009,0.009,0.003,0.004,0.004,0.002,0.001,0,0.003,0.004,0.002,0.004,0.004,0.003,0.002,0.002,0.005,0.007,0.003,0.006,0.006,0.003,0.004,0.001,0.005,0.004,0.002,0.004,0.002,0.011,0.004,0.004,0.015,0.268,0.236,0.222,0.016,0.004,0.007,0.003,0.003,0.003,0.001,0.002,0.008,0.002,0.004,0.003,0.003,0.003,0.002,0.004,0.003,0,0.003,0.002,0.002,0.002,0.001,0.004,0,0.001,0,0.001,0.002,0.002,0.002,0.006,0.006,0.002,0.003,0.003,0.002,0.001,0,0.002,0.003,0.001,0.003,0.003,0.002,0.001,0.001,0.004,0.005,0.002,0.004,0.004,0.002,0.002,0.001,0.004,0.003,0.001,0.002,0.002,0.008,0.002,0.003,0.011,0.184,0.162,0.152,0.159,0.155,0.1804,0.4963,0.165,0.185,-0.028,0.389,45.62,0.257,0.351,681,691,-0.27699,0.108538,NA
HL41_00865,88,50,62,62,43,41,15,54,65,25,59,41,66,37,54,92,31,20,22,14,13,17,8,12,25,7,23,7,19,12,16,15,16,1,11,15,9,6,2,24,5,2,4,4,12,6,11,25,25,12,15,13,8,7,1,9,18,9,18,14,16,7,5,13,16,17,14,19,13,11,4,9,17,7,14,16,19,12,22,39,-0.261,0.043,-0.248,0.04,-0.338,0.073,-0.145,0.019,-0.261,0.043,-0.248,0.04,-0.075,-0.028,-0.175,-0.166,0.212,0.001,0.506,0.135,-0.075,-0.028,-0.175,-0.166,0.082,0.047,0.058,0.058,0.04,0.038,0.014,0.05,0.061,0.023,0.055,0.038,0.061,0.034,0.05,0.086,0.079,0.061,0.065,0.009,0.006,0.007,0.004,0.004,0.005,0.002,0.004,0.008,0.002,0.007,0.002,0.006,0.004,0.005,0.005,0.005,0,0.003,0.005,0.003,0.002,0.001,0.007,0.002,0.001,0.001,0.001,0.004,0.002,0.003,0.008,0.008,0.004,0.005,0.004,0.002,0.002,0,0.003,0.005,0.003,0.005,0.004,0.005,0.002,0.002,0.004,0.005,0.005,0.004,0.006,0.004,0.003,0.001,0.003,0.005,0.002,0.004,0.005,0.006,0.004,0.007,0.012,0.286,0.221,0.234,0.006,0.004,0.005,0.003,0.003,0.004,0.002,0.002,0.005,0.001,0.005,0.001,0.004,0.002,0.003,0.003,0.003,0,0.002,0.003,0.002,0.001,0,0.005,0.001,0,0.001,0.001,0.002,0.001,0.002,0.005,0.005,0.002,0.003,0.003,0.002,0.001,0,0.002,0.004,0.002,0.004,0.003,0.003,0.001,0.001,0.003,0.003,0.004,0.003,0.004,0.003,0.002,0.001,0.002,0.004,0.001,0.003,0.003,0.004,0.002,0.005,0.008,0.196,0.151,0.16,0.157,0.159,0.2203,0.4545,0.1484,0.203,-0.066,0.38,44.42,0.281,0.403,274,284,-0.365141,0.140845,NA
HL41_00870,133,36,92,83,49,39,7,54,80,31,77,57,81,43,70,111,56,13,34,30,11,18,1,6,36,11,29,15,25,14,21,23,21,7,14,7,14,10,0,15,2,1,4,0,9,8,11,26,35,7,18,20,7,6,5,13,29,6,21,21,20,5,12,20,21,9,26,25,17,5,1,20,13,13,23,21,27,16,26,42,-0.242,-0.029,-0.216,0.013,-0.298,0.015,-0.138,-0.01,-0.242,-0.029,-0.216,0.013,-0.215,-0.128,-0.186,-0.182,0.31,0.101,0.546,0.189,-0.215,-0.128,-0.186,-0.182,0.102,0.028,0.07,0.063,0.037,0.03,0.005,0.041,0.061,0.024,0.059,0.044,0.062,0.033,0.054,0.085,0.077,0.064,0.061,0.014,0.003,0.009,0.008,0.003,0.005,0,0.002,0.009,0.003,0.007,0.004,0.006,0.004,0.005,0.006,0.005,0.002,0.004,0.002,0.004,0.003,0,0.004,0.001,0,0.001,0,0.002,0.002,0.003,0.007,0.009,0.002,0.005,0.005,0.002,0.002,0.001,0.003,0.007,0.002,0.005,0.005,0.005,0.001,0.003,0.005,0.005,0.002,0.007,0.006,0.004,0.001,0,0.005,0.003,0.003,0.006,0.005,0.007,0.004,0.007,0.011,0.283,0.232,0.223,0.01,0.002,0.006,0.005,0.002,0.003,0,0.001,0.006,0.002,0.005,0.003,0.004,0.002,0.004,0.004,0.004,0.001,0.002,0.001,0.002,0.002,0,0.003,0,0,0.001,0,0.002,0.001,0.002,0.004,0.006,0.001,0.003,0.003,0.001,0.001,0.001,0.002,0.005,0.001,0.004,0.004,0.003,0.001,0.002,0.003,0.004,0.002,0.004,0.004,0.003,0.001,0,0.003,0.002,0.002,0.004,0.004,0.005,0.003,0.004,0.007,0.193,0.157,0.151,0.16,0.161,0.1673,0.4601,0.1907,0.172,-0.102,0.354,42.82,0.268,0.378,339,347,0.206916,0.074928,NA
HL41_00875,82,14,34,27,7,15,4,42,32,9,19,20,35,30,24,67,43,7,21,11,0,5,1,8,16,1,8,8,7,5,5,10,7,0,0,0,2,3,1,9,2,0,0,2,10,9,6,17,21,2,5,4,2,2,0,5,7,3,2,7,4,5,2,9,11,5,8,11,3,5,2,20,7,5,9,3,14,11,11,31,-0.145,-0.057,-0.125,0.005,-0.167,0.002,-0.094,-0.057,-0.145,-0.057,-0.125,0.005,-0.181,-0.12,-0.21,-0.195,0.383,0.168,0.587,0.139,-0.181,-0.12,-0.21,-0.195,0.145,0.025,0.06,0.048,0.012,0.027,0.007,0.074,0.057,0.016,0.034,0.035,0.062,0.053,0.043,0.119,0.065,0.059,0.058,0.027,0.004,0.013,0.007,0,0.003,0.001,0.005,0.01,0.001,0.005,0.005,0.004,0.003,0.003,0.006,0.004,0,0,0,0.001,0.002,0.001,0.006,0.001,0,0,0.001,0.006,0.006,0.004,0.011,0.013,0.001,0.003,0.003,0.001,0.001,0,0.003,0.004,0.002,0.001,0.004,0.003,0.003,0.001,0.006,0.007,0.003,0.005,0.007,0.002,0.003,0.001,0.013,0.004,0.003,0.006,0.002,0.009,0.007,0.007,0.02,0.253,0.229,0.227,0.019,0.003,0.009,0.005,0,0.002,0,0.004,0.007,0,0.004,0.004,0.003,0.002,0.002,0.004,0.003,0,0,0,0.001,0.001,0,0.004,0.001,0,0,0.001,0.004,0.004,0.003,0.007,0.009,0.001,0.002,0.002,0.001,0.001,0,0.002,0.003,0.001,0.001,0.003,0.002,0.002,0.001,0.004,0.005,0.002,0.004,0.005,0.001,0.002,0.001,0.009,0.003,0.002,0.004,0.001,0.006,0.005,0.005,0.014,0.173,0.158,0.156,0.154,0.157,0.1696,0.4615,0.1727,0.183,0.007,0.407,40.04,0.253,0.322,150,153,-0.13464,0.143791,NA
HL41_00890,194,83,175,117,69,95,36,113,146,56,115,105,160,79,96,223,83,33,56,21,20,31,11,21,78,25,43,29,37,25,26,29,15,8,29,17,20,27,11,37,4,8,17,7,31,17,17,48,49,24,41,32,11,18,4,23,33,13,26,43,31,8,20,46,47,18,49,46,18,19,10,32,31,10,29,26,61,29,33,100,-0.233,-0.018,-0.216,0.006,-0.295,0.009,-0.141,-0.018,-0.233,-0.018,-0.216,0.006,-0.068,-0.013,-0.093,-0.126,0.223,0.081,0.536,0.161,-0.068,-0.013,-0.093,-0.126,0.083,0.036,0.075,0.05,0.03,0.041,0.015,0.048,0.063,0.024,0.049,0.045,0.069,0.034,0.041,0.095,0.076,0.064,0.063,0.012,0.005,0.008,0.003,0.003,0.004,0.002,0.003,0.011,0.004,0.006,0.004,0.005,0.004,0.004,0.004,0.002,0.001,0.004,0.002,0.003,0.004,0.002,0.005,0.001,0.001,0.002,0.001,0.004,0.002,0.002,0.007,0.007,0.003,0.006,0.004,0.002,0.003,0.001,0.003,0.005,0.002,0.004,0.006,0.004,0.001,0.003,0.006,0.007,0.003,0.007,0.006,0.003,0.003,0.001,0.004,0.004,0.001,0.004,0.004,0.009,0.004,0.005,0.014,0.278,0.234,0.226,0.008,0.003,0.005,0.002,0.002,0.003,0.001,0.002,0.007,0.002,0.004,0.003,0.004,0.002,0.002,0.003,0.001,0.001,0.003,0.002,0.002,0.003,0.001,0.004,0,0.001,0.002,0.001,0.003,0.002,0.002,0.005,0.005,0.002,0.004,0.003,0.001,0.002,0,0.002,0.003,0.001,0.002,0.004,0.003,0.001,0.002,0.004,0.005,0.002,0.005,0.004,0.002,0.002,0.001,0.003,0.003,0.001,0.003,0.002,0.006,0.003,0.003,0.01,0.19,0.159,0.154,0.161,0.157,0.196,0.4227,0.2,0.187,-0.017,0.397,45.41,0.307,0.395,609,620,0.033065,0.090323,NA
HL41_00895,74,23,50,38,21,28,13,43,46,20,51,36,44,34,39,81,31,11,23,8,5,6,5,7,26,3,16,5,10,10,12,6,8,2,7,4,2,11,1,14,2,3,7,1,7,10,8,18,23,4,9,10,6,1,3,10,14,6,13,18,10,6,5,15,12,6,11,15,8,10,4,12,4,8,15,12,17,8,14,42,-0.222,0.02,-0.172,0.034,-0.272,0.026,-0.1,-0.024,-0.222,0.02,-0.172,0.034,0.045,0.084,-0.039,-0.062,0.354,0.163,0.522,0.149,0.045,0.084,-0.039,-0.062,0.094,0.029,0.063,0.048,0.027,0.035,0.016,0.054,0.058,0.025,0.064,0.046,0.056,0.043,0.049,0.102,0.071,0.059,0.059,0.013,0.005,0.01,0.003,0.002,0.003,0.002,0.003,0.011,0.001,0.007,0.002,0.004,0.004,0.005,0.003,0.003,0.001,0.003,0.002,0.001,0.005,0,0.006,0.001,0.001,0.003,0,0.003,0.004,0.003,0.008,0.01,0.002,0.004,0.004,0.003,0,0.001,0.004,0.006,0.003,0.006,0.008,0.004,0.003,0.002,0.006,0.005,0.003,0.005,0.006,0.003,0.004,0.002,0.005,0.002,0.003,0.006,0.005,0.007,0.003,0.006,0.018,0.272,0.226,0.225,0.009,0.003,0.007,0.002,0.001,0.002,0.001,0.002,0.008,0.001,0.005,0.001,0.003,0.003,0.004,0.002,0.002,0.001,0.002,0.001,0.001,0.003,0,0.004,0.001,0.001,0.002,0,0.002,0.003,0.002,0.005,0.007,0.001,0.003,0.003,0.002,0,0.001,0.003,0.004,0.002,0.004,0.005,0.003,0.002,0.001,0.004,0.004,0.002,0.003,0.004,0.002,0.003,0.001,0.004,0.001,0.002,0.004,0.004,0.005,0.002,0.004,0.013,0.187,0.155,0.154,0.155,0.157,0.1737,0.4121,0.2133,0.165,-0.036,0.377,48.34,0.299,0.404,204,213,0.024413,0.122066,NA
HL41_00905,33,11,25,25,16,4,5,21,23,13,18,13,22,18,19,15,10,6,12,4,3,1,1,6,11,3,10,1,6,10,8,1,6,1,3,6,1,0,1,2,2,1,0,2,7,6,5,3,10,2,4,7,4,0,0,9,6,4,3,5,5,1,1,6,7,2,6,7,8,3,3,4,4,5,5,5,4,1,5,5,-0.271,0.006,-0.233,0.043,-0.331,-0.01,-0.173,0.027,-0.271,0.006,-0.233,0.043,-0.078,0.113,-0.183,-0.109,0.149,-0.067,0.337,-0.038,-0.078,0.113,-0.183,-0.109,0.093,0.031,0.071,0.071,0.045,0.011,0.014,0.059,0.065,0.037,0.051,0.037,0.062,0.051,0.054,0.042,0.081,0.066,0.06,0.009,0.005,0.011,0.004,0.003,0.001,0.001,0.005,0.01,0.003,0.009,0.001,0.005,0.009,0.007,0.001,0.005,0.001,0.003,0.005,0.001,0,0.001,0.002,0.002,0.001,0,0.002,0.006,0.005,0.005,0.003,0.009,0.002,0.004,0.006,0.004,0,0,0.008,0.005,0.004,0.003,0.005,0.005,0.001,0.001,0.005,0.006,0.002,0.005,0.006,0.007,0.003,0.003,0.004,0.004,0.005,0.005,0.005,0.004,0.001,0.005,0.005,0.291,0.239,0.214,0.006,0.004,0.007,0.002,0.002,0.001,0.001,0.004,0.007,0.002,0.006,0.001,0.004,0.006,0.005,0.001,0.004,0.001,0.002,0.004,0.001,0,0.001,0.001,0.001,0.001,0,0.001,0.004,0.004,0.003,0.002,0.006,0.001,0.002,0.004,0.002,0,0,0.006,0.004,0.002,0.002,0.003,0.003,0.001,0.001,0.004,0.004,0.001,0.004,0.004,0.005,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.001,0.003,0.003,0.195,0.159,0.143,0.165,0.166,0.2083,0.3333,0.25,0.229,0.064,0.456,46.48,0.344,0.405,90,93,-0.32043,0.021505,NA
HL41_00910,71,30,58,42,25,25,10,36,51,14,37,32,54,27,29,79,33,11,18,9,7,8,5,10,30,5,12,11,14,6,10,12,4,4,10,7,5,5,2,13,4,0,2,4,8,7,7,14,18,7,13,12,3,6,0,5,8,6,11,12,10,5,5,12,16,8,17,13,10,6,3,8,9,3,12,5,22,9,7,41,-0.237,-0.021,-0.217,-0.024,-0.298,-0.006,-0.139,-0.052,-0.237,-0.021,-0.217,-0.024,-0.04,-0.003,-0.033,0.006,0.29,0.094,0.634,0.189,-0.04,-0.003,-0.033,0.006,0.091,0.039,0.075,0.054,0.032,0.032,0.013,0.046,0.066,0.018,0.048,0.041,0.069,0.035,0.037,0.101,0.076,0.065,0.063,0.014,0.005,0.008,0.004,0.003,0.003,0.002,0.004,0.013,0.002,0.005,0.005,0.006,0.003,0.004,0.005,0.002,0.002,0.004,0.003,0.002,0.002,0.001,0.006,0.002,0,0.001,0.002,0.003,0.003,0.003,0.006,0.008,0.003,0.006,0.005,0.001,0.003,0,0.002,0.003,0.003,0.005,0.005,0.004,0.002,0.002,0.005,0.007,0.003,0.007,0.006,0.004,0.003,0.001,0.003,0.004,0.001,0.005,0.002,0.009,0.004,0.003,0.017,0.275,0.235,0.228,0.01,0.003,0.005,0.003,0.002,0.002,0.001,0.003,0.009,0.001,0.003,0.003,0.004,0.002,0.003,0.003,0.001,0.001,0.003,0.002,0.001,0.001,0.001,0.004,0.001,0,0.001,0.001,0.002,0.002,0.002,0.004,0.005,0.002,0.004,0.003,0.001,0.002,0,0.001,0.002,0.002,0.003,0.003,0.003,0.001,0.001,0.003,0.005,0.002,0.005,0.004,0.003,0.002,0.001,0.002,0.003,0.001,0.003,0.001,0.006,0.003,0.002,0.012,0.187,0.161,0.155,0.16,0.157,0.1635,0.4129,0.2394,0.176,-0.116,0.353,45.09,0.299,0.371,201,206,-0.392718,0.135922,NA
HL41_00915,106,30,59,48,31,40,14,47,48,25,43,39,58,37,39,73,54,15,20,16,7,14,4,5,17,13,17,12,13,11,11,13,11,2,10,8,9,10,6,15,6,1,2,5,10,13,10,14,21,9,10,8,3,7,1,14,15,3,10,15,10,6,12,11,20,4,19,15,12,9,3,13,10,8,14,7,25,7,6,35,-0.227,0.003,-0.19,-0.03,-0.279,-0.011,-0.138,-0.035,-0.227,0.003,-0.19,-0.03,-0.215,-0.108,-0.256,-0.154,0.412,0.15,0.681,0.284,-0.215,-0.108,-0.256,-0.154,0.115,0.033,0.064,0.052,0.034,0.043,0.015,0.051,0.052,0.027,0.047,0.042,0.063,0.04,0.042,0.079,0.075,0.063,0.061,0.019,0.005,0.007,0.006,0.003,0.005,0.001,0.002,0.006,0.005,0.006,0.004,0.005,0.004,0.004,0.005,0.004,0.001,0.004,0.003,0.003,0.004,0.002,0.005,0.002,0,0.001,0.002,0.004,0.005,0.004,0.005,0.008,0.003,0.004,0.003,0.001,0.003,0,0.005,0.005,0.001,0.004,0.005,0.004,0.002,0.004,0.004,0.007,0.001,0.007,0.005,0.004,0.003,0.001,0.005,0.004,0.003,0.005,0.003,0.009,0.003,0.002,0.013,0.276,0.235,0.223,0.013,0.004,0.005,0.004,0.002,0.003,0.001,0.001,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0,0.002,0.002,0.002,0.002,0.001,0.004,0.001,0,0,0.001,0.002,0.003,0.002,0.003,0.005,0.002,0.002,0.002,0.001,0.002,0,0.003,0.004,0.001,0.002,0.004,0.002,0.001,0.003,0.003,0.005,0.001,0.005,0.004,0.003,0.002,0.001,0.003,0.002,0.002,0.003,0.002,0.006,0.002,0.001,0.009,0.187,0.159,0.151,0.163,0.16,0.2063,0.4343,0.1864,0.193,-0.054,0.372,42.38,0.301,0.39,239,245,0.074694,0.069388,NA
